20201221112653,34.681826666666666,135.78252333333333
,adress,rssi,uuid
0,00:a0:50:53:46:68,-69,null
1,58:d4:90:0c:9e:55,-62,null
2,6d:e3:f9:a6:ef:c5,-62,null
3,10:1b:e8:55:0f:be,-58,0000fd6f-0000-1000-8000-00805f9b34fb
4,4a:d8:b4:8e:2c:1b,-89,null
5,5a:45:58:48:ae:f6,-58,null
6,6b:fb:53:88:a5:3d,-83,null
