20201221185323,34.73255666666667,135.73166833333335
,adress,rssi,uuid
0,69:ef:ae:5f:7a:e4,-79,null
1,3e:66:4c:2e:2a:f9,-44,0000fd6f-0000-1000-8000-00805f9b34fb
2,53:71:08:b9:69:3a,-42,null
