20201221094803,34.70785166666667,135.81889333333334
,adress,rssi,uuid
0,00:a0:50:11:5c:5f,-86,null
1,64:bf:76:ba:e8:03,-55,null
2,2d:c9:d1:41:ea:6f,-62,0000fd6f-0000-1000-8000-00805f9b34fb
3,7f:06:c3:2a:ce:4b,-55,null
4,37:d8:8f:89:f1:9d,-89,0000fd6f-0000-1000-8000-00805f9b34fb
5,70:1e:de:d4:81:c7,-89,null
6,fa:4b:db:c6:3a:b1,-73,null
