20201221024908,34.724795,135.72075833333332
,adress,rssi,uuid
0,42:98:b3:09:17:2a,-41,null
1,09:68:82:b7:0d:b1,-48,0000fd6f-0000-1000-8000-00805f9b34fb
2,59:8e:a0:49:f8:c2,-76,null
3,f0:79:60:1d:40:f3,-57,null
4,00:1c:fc:8b:aa:06,-94,null
5,50:32:37:8d:12:eb,-90,null
6,27:78:ca:97:0f:f6,-91,null
