20201221024646,34.728948333333335,135.73018333333334
,adress,rssi,uuid
0,42:98:b3:09:17:2a,-52,null
1,09:68:82:b7:0d:b1,-53,0000fd6f-0000-1000-8000-00805f9b34fb
2,59:8e:a0:49:f8:c2,-50,null
3,f0:79:60:1d:40:f3,-50,null
