20201221094834,34.708236666666664,135.81960833333332
,adress,rssi,uuid
0,00:a0:50:11:5c:5f,-62,null
1,64:bf:76:ba:e8:03,-49,null
2,2d:c9:d1:41:ea:6f,-51,0000fd6f-0000-1000-8000-00805f9b34fb
3,7f:06:c3:2a:ce:4b,-32,null
4,41:28:bd:02:43:f0,-88,null
