,address,rssi,uuid
0,00:a0:50:c4:24:ee,-63,
1,21:46:b2:31:b6:de,-90,
2,04:78:fe:03:48:5b,-56,0000fd6f-0000-1000-8000-00805f9b34fb
3,7f:53:58:4a:e4:a6,-56,
4,4d:10:1e:3a:12:3d,-48,
5,49:52:eb:3f:65:3c,-93,
6,6b:f0:80:cd:87:71,-91,
7,43:db:7b:58:a6:2c,-87,
8,90:dd:5d:a3:d3:96,-91,
9,5a:d3:2f:f8:ce:a3,-85,
10,61:1b:db:c6:2b:31,-97,
11,73:f3:33:39:cb:12,-97,
12,18:ee:69:0d:3e:35,-93,
13,03:71:c1:d4:ca:57,-96,0000fd6f-0000-1000-8000-00805f9b34fb
14,5a:76:92:51:39:e4,-92,
15,44:d7:a5:e2:71:42,-94,
16,14:9f:1b:46:eb:03,-95,0000fd6f-0000-1000-8000-00805f9b34fb
17,1d:4a:88:b5:0a:66,-93,
18,1a:38:14:cc:fb:fd,-93,0000fd6f-0000-1000-8000-00805f9b34fb
19,5b:5b:04:f2:96:7e,-94,
20,58:10:f3:9c:a4:82,-87,
21,6d:1b:b4:f5:38:28,-93,
22,56:24:3c:a5:85:e4,-94,
23,6c:ef:7f:2a:b0:bd,-93,
24,d1:f0:53:47:8f:c1,-72,
25,3c:7a:73:bd:e0:3f,-94,0000fd6f-0000-1000-8000-00805f9b34fb
26,21:4d:84:16:47:27,-96,0000fd6f-0000-1000-8000-00805f9b34fb
27,46:0a:19:35:34:c8,-91,
28,6d:fe:f7:0d:f9:f2,-90,
29,6d:d9:43:5f:a2:d9,-90,
30,7b:15:50:82:70:47,-99,
