,address,rssi,uuid
0,5e:f3:49:8b:b4:c9,-90,
1,4e:8a:8d:4e:3b:77,-98,
2,4d:72:1e:1d:68:78,-44,
3,23:07:74:95:85:59,-84,
4,41:51:e7:aa:2c:39,-73,
5,60:25:c3:2d:61:84,-31,
6,00:a0:50:c4:24:ee,-78,
7,49:68:48:58:14:63,-85,
8,1c:41:59:41:87:6b,-79,
9,17:42:cc:cf:77:5d,-76,
10,7a:94:96:3d:85:6d,-87,
11,19:be:fc:8e:1e:23,-77,
12,7e:13:bd:9b:1a:8a,-93,
13,5d:58:22:24:76:65,-85,
14,06:0d:60:cf:86:d3,-69,0000fd6f-0000-1000-8000-00805f9b34fb
15,0b:d9:a4:ad:0a:10,-94,
16,7b:48:ae:90:be:71,-85,
17,4d:b6:86:61:fa:21,-89,
18,00:65:f9:49:b9:85,-83,
19,6a:30:94:2a:de:ae,-88,
20,6a:0d:08:c3:2f:58,-81,
21,4f:88:cc:2e:44:48,-91,
22,34:ea:7f:a4:f7:a3,-89,
23,43:91:63:0a:ed:a8,-86,
24,1a:ff:d0:16:f1:30,-89,0000fd6f-0000-1000-8000-00805f9b34fb
25,46:b7:21:2a:a2:15,-88,
26,0c:a6:ff:a5:88:fa,-92,
27,26:08:e8:b6:89:91,-87,
28,71:63:85:8c:f7:5d,-78,
29,18:8e:08:2d:4e:7d,-95,
30,4a:01:61:27:d5:ed,-43,
31,76:27:8e:e0:65:3a,-93,
32,13:23:cb:69:b9:92,-93,
33,51:76:fe:63:a6:15,-97,
34,6b:e5:63:d9:4a:fe,-73,
35,53:a8:b1:56:8f:c0,-93,
36,58:ae:aa:af:19:83,-96,
37,3d:a7:45:30:8e:c3,-96,
38,03:b8:f6:25:79:20,-86,
39,22:5d:a3:9b:c1:6b,-92,
40,4b:a8:22:71:6e:79,-84,
41,67:c0:ae:fb:36:1f,-84,
42,27:dd:7b:9c:e9:2c,-93,
43,79:26:09:1d:62:58,-50,
44,62:bc:b4:f4:e9:5e,-81,
45,09:cd:93:a8:f8:eb,-91,
46,2c:41:a1:57:47:4f,-92,
47,55:26:ef:86:fa:da,-91,
48,1e:32:e8:37:cf:38,-91,
49,21:74:54:eb:11:c3,-80,0000fd6f-0000-1000-8000-00805f9b34fb
50,00:a0:50:53:46:57,-95,
51,51:c3:5e:ca:be:95,-87,
52,02:a9:27:73:00:7a,-97,
53,64:fa:59:8a:72:f5,-95,
54,77:a6:d1:cf:bf:84,-79,
55,36:c3:ca:70:aa:40,-98,
56,27:00:a7:8d:6b:53,-83,0000fd6f-0000-1000-8000-00805f9b34fb
57,13:bd:4b:20:36:36,-97,
58,29:51:bc:99:82:77,-88,0000fd6f-0000-1000-8000-00805f9b34fb
59,2e:28:9b:9e:b8:08,-99,
60,7a:7e:b8:9a:5f:4e,-95,
61,6f:ad:4b:1d:4b:87,-92,
62,2b:bc:ac:55:6a:3d,-91,0000fd6f-0000-1000-8000-00805f9b34fb
63,7b:d8:25:f4:07:ca,-85,
64,40:89:a3:43:c4:de,-99,
65,52:bb:24:d9:0c:b0,-95,
66,76:fe:c6:d9:66:03,-95,
67,75:48:51:61:db:1e,-95,
68,4f:e9:52:87:d1:51,-94,
69,05:5f:94:1d:92:56,-94,
70,0e:0d:1e:77:53:87,-97,
71,01:b8:45:39:dc:a4,-96,
72,71:67:43:4f:44:3d,-90,
