20210704093955,34.68171666666667,135.846055
,adress,rssi,uuid
0,00:a0:50:53:37:2b,-63,null
1,28:ed:e0:d2:49:fa,-95,null
2,3f:47:d3:83:9a:4e,-50,null
3,64:a2:46:fa:d9:b7,-59,null
4,56:0a:f6:7b:3d:7e,-93,null
