20210704093414,0.0,0.0
,adress,rssi,uuid
0,74:2b:40:a7:6b:5f,-76,null
1,00:a0:50:53:37:2b,-69,null
2,31:14:a7:55:1c:66,-92,0000fd6f-0000-1000-8000-00805f9b34fb
3,51:e7:25:43:2b:37,-92,null
