20201221112330,34.709545,135.75499833333333
,adress,rssi,uuid
0,00:a0:50:d6:54:5d,-74,null
1,06:20:2c:10:f9:ec,-94,null
2,60:68:6c:36:88:fb,-79,null
3,05:dc:81:78:15:12,-79,0000fd6f-0000-1000-8000-00805f9b34fb
4,2d:56:ba:80:2f:f9,-46,0000fd6f-0000-1000-8000-00805f9b34fb
5,70:35:5d:80:6d:e0,-45,null
