20201221145136,34.71639833333333,135.77771
,adress,rssi,uuid
0,00:a0:50:53:45:e7,-71,null
1,69:74:32:e2:0e:86,-33,null
2,0e:66:bd:c0:f4:53,-33,0000fd6f-0000-1000-8000-00805f9b34fb
3,35:a9:05:1c:19:59,-96,null
4,72:a5:15:08:51:37,-92,null
