20201221175046,34.693418333333334,135.724825
,adress,rssi,uuid
0,34:69:d5:30:e7:92,-44,0000fd6f-0000-1000-8000-00805f9b34fb
1,00:a0:50:c4:2a:98,-71,null
2,c0:14:41:21:5b:a4,-63,null
3,51:5a:ff:46:3d:36,-93,null
4,58:24:0f:fb:f5:a2,-44,null
