20201221120758,34.717733333333335,135.75177833333333
,adress,rssi,uuid
0,00:a0:50:53:37:09,-74,null
1,0f:cd:f7:14:c3:d8,-55,0000fd6f-0000-1000-8000-00805f9b34fb
2,44:1c:a8:1f:0d:16,-97,null
3,6e:9c:38:f3:24:df,-47,null
4,00:1c:fc:81:dd:dc,-92,null
5,68:86:04:ed:58:1e,-91,null
