20201221161823,34.70859,135.70324833333333
,adress,rssi,uuid
0,00:a0:50:d6:93:b3,-71,null
1,79:6a:1b:0d:6b:c5,-69,null
2,3a:8c:ab:85:97:21,-81,0000fd6f-0000-1000-8000-00805f9b34fb
3,c0:14:41:21:5b:a4,-43,null
4,19:6f:6c:76:0d:41,-96,null
5,0b:c4:ff:fd:43:a5,-50,0000fd6f-0000-1000-8000-00805f9b34fb
6,78:1c:2e:9d:c2:63,-52,null
7,74:c6:a7:25:62:26,-95,null
