20201221080003,34.72416333333334,135.720175
,adress,rssi,uuid
0,c0:14:41:21:5b:a4,-36,null
1,61:85:e1:1a:b6:03,-80,0000fd6f-0000-1000-8000-00805f9b34fb
2,00:a0:50:c4:53:53,-73,null
3,54:3d:de:42:2a:e1,-78,null
4,60:e3:85:23:cd:c6,-50,null
5,11:4e:8a:94:ca:c9,-51,0000fd6f-0000-1000-8000-00805f9b34fb
6,7a:8d:b4:8d:45:e8,-88,0000fd6f-0000-1000-8000-00805f9b34fb
7,45:70:12:55:ad:4d,-87,null
