20201221112840,34.706135,135.762225
,adress,rssi,uuid
0,00:a0:50:d6:54:5d,-70,null
1,70:35:5d:80:6d:e0,-52,null
2,2d:56:ba:80:2f:f9,-52,0000fd6f-0000-1000-8000-00805f9b34fb
3,a0:18:28:f0:65:be,-95,null
