20201221183227,34.68197,135.73823666666667
,adress,rssi,uuid
0,00:a0:50:11:96:e5,-73,null
1,41:39:d7:ea:b5:8c,-53,null
2,19:f2:68:4f:08:ec,-94,null
3,0f:70:b2:07:92:19,-52,0000fd6f-0000-1000-8000-00805f9b34fb
4,c0:14:41:21:5b:a4,-54,null
5,5b:e0:7b:e2:99:b3,-93,0000fd6f-0000-1000-8000-00805f9b34fb
6,2d:5c:c8:2b:4d:34,-99,0000fd6f-0000-1000-8000-00805f9b34fb
