,time,latitude,longitude
0,20210704093106,34.693113333333336,135.782365
1,20210704093122,34.693113333333336,135.782365
2,20210704093137,34.69315666666667,135.78237833333333
3,20210704093153,34.69315666666667,135.78237833333333
4,20210704093208,34.69304,135.78246166666668
5,20210704093223,34.693036666666664,135.78252666666666
6,20210704093239,34.693108333333335,135.7825
7,20210704093254,34.693108333333335,135.7825
8,20210704093310,34.69269666666667,135.78264666666666
9,20210704093325,34.69267,135.78263666666666
10,20210704093341,34.692535,135.78267166666666
11,20210704093357,34.692535,135.78267166666666
12,20210704093412,34.69276166666667,135.78252833333335
13,20210704093428,34.69276166666667,135.78252833333335
14,20210704093443,34.693145,135.782425
15,20210704093459,34.69316,135.78242333333333
16,20210704093515,34.69316,135.78242333333333
17,20210704093530,34.69314833333333,135.78243
18,20210704093546,34.69314833333333,135.78243
19,20210704093601,34.693151666666665,135.78243166666667
20,20210704093617,34.693151666666665,135.78243166666667
21,20210704093632,34.69311,135.78243
22,20210704093648,34.69311,135.78243
23,20210704093703,34.693113333333336,135.78243166666667
24,20210704093719,34.69307833333333,135.78239
25,20210704093735,34.69307833333333,135.78239
26,20210704093750,34.69310333333333,135.78232333333332
27,20210704093806,34.69310333333333,135.78232333333332
28,20210704093821,34.69310333333333,135.78232333333332
29,20210704093837,34.692978333333336,135.782585
30,20210704093853,34.692978333333336,135.782585
31,20210704093908,34.69316666666667,135.78219166666668
32,20210704093924,34.69316666666667,135.78219166666668
33,20210704093939,34.69316833333333,135.782175
34,20210704093955,34.69316833333333,135.782175
35,20210704094010,34.693165,135.782175
36,20210704094026,34.693165,135.782175
37,20210704094041,34.693151666666665,135.78217333333333
38,20210704094057,34.693151666666665,135.78217333333333
39,20210704094112,34.69314166666667,135.78216333333333
40,20210704094128,34.69314166666667,135.78216333333333
41,20210704094143,34.69314833333333,135.78215833333334
42,20210704094159,34.69314166666667,135.78216
43,20210704094215,34.69314166666667,135.78216
44,20210704094230,34.693288333333335,135.78253666666666
45,20210704094246,34.69295666666667,135.78279666666666
46,20210704094302,34.692726666666665,135.782205
47,20210704094318,34.69168166666667,135.782205
48,20210704094333,34.69032166666667,135.78216
49,20210704094349,34.69032166666667,135.78216
50,20210704094404,34.687845,135.782155
51,20210704094420,34.687845,135.782155
52,20210704094435,34.68535833333333,135.781515
53,20210704094450,34.68447833333333,135.78048833333332
54,20210704094506,34.68411833333333,135.78038166666667
55,20210704094522,34.68412,135.78038166666667
56,20210704094537,34.684035,135.78038333333333
57,20210704094553,34.684035,135.78038333333333
58,20210704094608,34.68397,135.78351333333333
59,20210704094623,34.68397,135.78351333333333
60,20210704094639,34.68425333333333,135.78724666666668
61,20210704094655,34.68425333333333,135.78724666666668
62,20210704094710,34.68454,135.79113166666667
63,20210704094725,34.684531666666665,135.79280333333332
64,20210704094741,34.68459333333333,135.79355166666667
65,20210704094756,34.68458833333333,135.79272333333333
66,20210704094812,34.68512666666667,135.79222333333334
