,address,rssi,uuid
0,e9:82:fc:d8:ef:98,-94,
1,2c:84:67:68:c6:c9,-85,
2,05:d4:54:a5:a3:d6,-95,0000fd6f-0000-1000-8000-00805f9b34fb
3,00:a0:50:1d:4a:ce,-70,
4,55:f6:51:16:c2:f6,-64,
5,20:4a:89:8a:02:c5,-61,0000fd6f-0000-1000-8000-00805f9b34fb
6,49:72:2a:58:63:b1,-88,
7,5d:65:78:33:e7:22,-73,0000fd6f-0000-1000-8000-00805f9b34fb
8,5c:5b:6a:3a:74:22,-54,
9,09:40:df:27:c3:9d,-95,0000fd6f-0000-1000-8000-00805f9b34fb
10,4f:6d:fa:57:a5:fd,-92,
11,49:bf:44:95:bc:77,-83,
12,40:4e:36:59:28:32,-102,
13,08:a0:04:0a:50:08,-90,0000fd6f-0000-1000-8000-00805f9b34fb
14,3d:b9:06:7a:f8:b9,-86,
15,5d:9f:b5:c6:5d:60,-92,
16,7a:ee:66:a2:d9:83,-97,
17,16:cb:ce:89:ca:0f,-93,0000fd6f-0000-1000-8000-00805f9b34fb
18,41:ce:24:9e:76:63,-93,
19,42:70:6e:fb:c3:f0,-98,
20,21:af:14:ea:b0:b0,-95,
21,5c:ca:21:4c:2b:be,-94,
22,e8:07:bf:59:7b:ed,-59,
23,4d:94:3a:10:88:ee,-93,
24,40:4e:36:59:21:b6,-86,
25,4c:54:17:f8:0c:d2,-86,
26,33:62:2e:3d:fa:d8,-98,
27,24:bc:fc:2d:f2:1a,-91,
28,46:52:f6:3f:62:d1,-84,
