20210704100232,34.684421666666665,135.82799
,adress,rssi,uuid
0,04:fd:69:c5:d7:69,-92,0000fd6f-0000-1000-8000-00805f9b34fb
1,00:a0:50:53:77:0c,-65,null
2,a0:c9:a0:30:36:6c,-94,null
3,1e:ef:76:78:ae:67,-86,0000fd6f-0000-1000-8000-00805f9b34fb
4,6a:5d:4b:6f:be:58,-81,null
5,4b:de:ab:27:07:78,-80,null
6,64:c9:a2:e8:57:54,-87,null
7,59:b2:82:03:79:87,-90,null
8,36:75:70:fe:28:b4,-81,null
9,31:5a:ac:9c:1d:32,-91,null
10,10:7b:ef:ec:67:ce,-86,0000fd6f-0000-1000-8000-00805f9b34fb
11,68:47:6b:f6:0b:25,-90,null
12,5b:66:25:74:bd:9f,-83,null
13,04:2a:22:4d:66:30,-89,0000fd6f-0000-1000-8000-00805f9b34fb
14,01:c0:9a:49:ad:21,-90,0000fd6f-0000-1000-8000-00805f9b34fb
15,cc:c0:79:b7:e2:36,-97,null
16,0d:01:f2:5d:e9:6b,-87,null
17,28:b3:a3:b2:67:86,-85,0000fd6f-0000-1000-8000-00805f9b34fb
18,40:58:d5:12:0f:ad,-87,null
19,51:0a:ea:2c:ca:3d,-91,null
20,5a:4d:42:8b:6e:17,-92,null
21,69:ce:87:18:ac:72,-96,null
22,7c:98:39:46:2c:35,-92,null
23,10:2c:6b:b4:e4:b5,-91,null
24,21:0b:29:7c:a2:7b,-84,0000fd6f-0000-1000-8000-00805f9b34fb
25,4a:95:50:c1:c7:d7,-98,null
26,7b:a0:cc:82:0e:5c,-89,null
27,7d:ed:32:11:a3:85,-84,null
28,21:c1:19:45:2f:7a,-92,0000fd6f-0000-1000-8000-00805f9b34fb
29,5b:e9:0b:5f:d2:2f,-87,null
30,68:7b:2d:46:c9:03,-96,null
31,6d:10:c8:a9:d3:be,-83,null
32,5f:17:da:88:81:e8,-94,null
33,5d:a4:f0:c4:9d:28,-85,null
34,29:0f:86:15:44:a0,-97,0000fd6f-0000-1000-8000-00805f9b34fb
35,47:05:6a:7d:c5:d7,-98,null
36,32:1b:3d:b4:37:c2,-77,0000fd6f-0000-1000-8000-00805f9b34fb
37,63:75:9b:52:d5:c0,-92,null
38,62:c5:c7:88:ec:41,-87,null
39,1d:bb:e0:5f:ac:9c,-91,null
40,2e:82:5b:3f:b0:8e,-86,0000fd6f-0000-1000-8000-00805f9b34fb
41,46:1e:b5:fa:ce:6f,-87,null
42,69:bd:fe:fb:54:12,-95,null
43,0b:14:11:c2:55:77,-91,0000fd6f-0000-1000-8000-00805f9b34fb
44,68:2a:e4:94:ad:69,-95,null
45,6d:d0:92:6b:63:9a,-96,null
46,37:92:ee:1d:6d:ec,-86,0000fd6f-0000-1000-8000-00805f9b34fb
47,6f:39:5f:a9:2d:dc,-90,null
48,7b:ea:7a:9b:c9:71,-94,null
49,41:6e:ce:42:09:b8,-98,null
50,7e:3b:60:00:27:f8,-91,null
51,7d:82:76:38:7b:e5,-88,null
52,69:95:be:8c:ad:99,-99,null
53,55:7b:37:86:26:38,-93,null
54,53:ab:c2:ea:93:ae,-94,null
55,6b:72:49:2b:82:a0,-100,null
56,1f:47:8e:81:21:b0,-98,0000fd6f-0000-1000-8000-00805f9b34fb
57,46:89:7b:eb:c0:8a,-91,null
58,74:8a:f4:af:a0:be,-93,null
59,56:aa:4b:4f:75:c7,-94,null
60,7d:1f:43:af:2b:b4,-91,null
61,37:d8:cc:07:4b:d0,-93,0000fd6f-0000-1000-8000-00805f9b34fb
62,72:95:52:95:2d:ff,-97,null
63,3f:9b:b2:b2:52:74,-95,null
64,79:74:d9:7a:ce:45,-90,null
65,68:0d:80:f3:3e:2e,-90,null
66,2d:4e:a5:39:dc:72,-95,0000fd6f-0000-1000-8000-00805f9b34fb
