20201221182936,34.67827333333334,135.730655
,adress,rssi,uuid
0,00:a0:50:11:96:e5,-66,null
1,c0:14:41:21:5b:a4,-60,null
2,0f:70:b2:07:92:19,-54,0000fd6f-0000-1000-8000-00805f9b34fb
3,41:39:d7:ea:b5:8c,-56,null
