20201221024211,34.73280833333333,135.73278666666667
,adress,rssi,uuid
0,09:68:82:b7:0d:b1,-63,0000fd6f-0000-1000-8000-00805f9b34fb
1,42:98:b3:09:17:2a,-60,null
