20201221131704,34.607328333333335,135.71852333333334
,adress,rssi,uuid
0,00:a0:50:2c:93:58,-76,null
1,51:d2:22:7f:b1:d2,-54,null
2,35:83:aa:a0:aa:a2,-57,0000fd6f-0000-1000-8000-00805f9b34fb
3,4d:e8:c7:1d:5b:56,-73,null
4,b0:c0:90:d7:81:f7,-92,null
