20201221151545,34.57667,135.72500166666666
,adress,rssi,uuid
0,1a:a6:ed:b2:56:db,-53,0000fd6f-0000-1000-8000-00805f9b34fb
1,00:a0:50:2d:33:88,-79,null
2,68:52:1b:fd:45:d9,-51,null
