20201221083405,34.71798833333333,135.77004166666666
,adress,rssi,uuid
0,00:a0:50:53:37:61,-74,null
1,5f:f1:50:0c:8b:e2,-56,null
2,61:66:cb:72:09:e0,-77,null
3,02:74:f8:8f:31:a6,-56,0000fd6f-0000-1000-8000-00805f9b34fb
4,4b:e3:c6:c5:ff:7d,-80,null
5,5d:f4:59:61:5f:f6,-95,null
6,4f:54:48:f1:91:b1,-93,null
7,47:33:e3:86:d6:2a,-94,null
