20201221151255,34.576101666666666,135.72043166666666
,adress,rssi,uuid
0,00:a0:50:2d:33:88,-79,null
1,1a:a6:ed:b2:56:db,-48,0000fd6f-0000-1000-8000-00805f9b34fb
2,68:52:1b:fd:45:d9,-44,null
