20201221101603,34.694266666666664,135.79825166666666
,adress,rssi,uuid
0,00:a0:50:53:1a:a7,-71,null
1,21:ce:68:03:e3:32,-44,0000fd6f-0000-1000-8000-00805f9b34fb
2,6e:51:52:28:16:be,-75,null
3,6a:7e:6c:ca:a5:e5,-45,null
4,56:f8:1a:0f:f8:b7,-96,null
5,80:ea:ca:06:86:3b,-92,null
6,70:13:4b:ca:98:97,-88,null
