20201221101547,34.69437166666667,135.79547333333332
,adress,rssi,uuid
0,00:a0:50:53:1a:a7,-68,null
1,21:ce:68:03:e3:32,-60,0000fd6f-0000-1000-8000-00805f9b34fb
2,6a:7e:6c:ca:a5:e5,-45,null
