20201221083553,34.71586666666666,135.76969
,adress,rssi,uuid
0,00:a0:50:53:37:61,-64,null
1,02:74:f8:8f:31:a6,-59,0000fd6f-0000-1000-8000-00805f9b34fb
2,5f:f1:50:0c:8b:e2,-59,null
3,59:8f:23:6d:30:1a,-88,null
