20210701151331,34.69319333333333,135.78217666666666
,adress,rssi,uuid
0,45:d8:58:49:f6:25,-88,null
1,00:a0:50:53:77:0c,-59,null
2,5c:da:4b:21:5f:1e,-85,null
3,65:bd:6e:bb:d9:35,-92,null
4,42:c0:f2:d7:67:d4,-63,null
5,6a:6a:6a:8b:1c:d4,-91,null
6,00:f2:e8:a0:01:d8,-92,0000fd6f-0000-1000-8000-00805f9b34fb
7,78:89:a9:ee:1d:d3,-97,null
8,28:11:a5:cb:f2:58,-88,null
9,5f:1b:36:9f:41:94,-93,null
10,15:e6:eb:d1:51:f5,-94,0000fd6f-0000-1000-8000-00805f9b34fb
11,6e:f2:ce:9d:e5:b8,-89,null
12,11:0a:bf:2d:8d:f0,-91,null
13,2f:59:be:f2:e5:63,-95,null
14,4d:63:83:91:d7:29,-92,null
15,4b:e3:8f:a4:84:0e,-90,null
16,59:01:96:ee:fe:67,-88,null
17,04:fa:86:8f:c7:25,-95,null
18,7e:c3:5f:44:0d:c3,-92,null
19,41:aa:c8:4f:64:f1,-92,null
20,7a:6b:1d:cc:c1:8f,-86,null
21,68:13:81:14:77:f1,-95,null
22,5c:4e:21:8f:b1:31,-90,null
23,e2:e6:56:33:0d:23,-91,null
24,d4:36:39:ba:c1:d3,-95,null
