,address,rssi,uuid
0,71:39:70:0f:93:7d,-84,
1,03:41:f7:13:dc:12,-96,0000fd6f-0000-1000-8000-00805f9b34fb
2,78:ae:87:10:01:7a,-90,
3,2e:1c:49:e2:3e:11,-83,0000fd6f-0000-1000-8000-00805f9b34fb
4,00:a0:50:52:e3:df,-67,
5,09:0f:c2:0a:38:72,-88,0000fd6f-0000-1000-8000-00805f9b34fb
6,2e:cf:8f:ca:5e:c5,-84,0000fd6f-0000-1000-8000-00805f9b34fb
7,40:d0:ad:c2:09:7a,-84,
8,6d:d1:55:c8:a7:b5,-58,
9,5a:93:b9:ef:cd:82,-91,
10,27:26:8a:03:52:43,-90,0000fd6f-0000-1000-8000-00805f9b34fb
11,5f:be:55:a0:40:d2,-84,
12,75:06:fd:1a:de:ea,-92,
13,0b:5d:54:a4:da:89,-89,0000fd6f-0000-1000-8000-00805f9b34fb
14,5f:87:fd:c3:78:a4,-86,
15,7d:71:8b:eb:fe:0c,-90,
16,3f:28:04:5a:f6:9f,-94,
17,79:33:c1:73:21:f9,-91,
18,4f:f7:b6:91:06:11,-82,
19,67:c8:b1:92:28:5e,-92,
20,5c:26:77:b2:09:10,-89,
21,2d:7b:3a:cd:18:6f,-90,0000fd6f-0000-1000-8000-00805f9b34fb
22,5c:be:07:1c:49:48,-89,
23,4c:50:96:c5:f2:47,-89,
24,4c:41:9d:7b:e2:9d,-99,
25,48:2d:af:26:60:f6,-74,
26,2d:60:a0:d4:ad:de,-89,0000fd6f-0000-1000-8000-00805f9b34fb
27,64:6c:18:8b:58:f9,-82,
28,58:9a:ae:13:ca:35,-93,
29,5d:ab:3b:e0:50:d5,-74,
30,44:25:2e:b4:93:88,-87,
31,16:77:fc:48:31:c5,-92,0000fd6f-0000-1000-8000-00805f9b34fb
32,36:bd:cd:6b:95:2c,-96,0000fd6f-0000-1000-8000-00805f9b34fb
33,1f:95:d2:c2:15:72,-86,
34,7f:17:3d:a1:b8:5c,-94,
35,30:d9:ab:dd:b7:e8,-82,0000fd6f-0000-1000-8000-00805f9b34fb
36,53:5a:01:9a:29:2c,-95,
37,7b:eb:df:32:dd:9b,-87,
38,07:bf:03:ca:2d:6c,-94,
39,31:15:c7:95:90:6d,-95,0000fd6f-0000-1000-8000-00805f9b34fb
40,4e:df:35:39:31:d8,-84,
41,73:c8:4f:1b:b8:8e,-87,
42,3b:6a:05:72:d9:15,-80,0000fd6f-0000-1000-8000-00805f9b34fb
43,78:7f:09:9f:01:07,-85,
44,49:e2:a8:5d:07:74,-83,
45,5f:d7:ed:5e:09:fc,-85,
46,2e:88:38:a6:a8:c5,-85,0000fd6f-0000-1000-8000-00805f9b34fb
47,6e:3d:e1:f2:d5:37,-86,
48,62:68:91:41:7b:0c,-92,
49,64:29:a6:1f:83:2d,-87,
50,3f:de:ba:07:6d:5c,-88,0000fd6f-0000-1000-8000-00805f9b34fb
51,62:e1:35:97:d0:7d,-91,
52,1d:df:76:ca:9e:fd,-84,0000fd6f-0000-1000-8000-00805f9b34fb
53,48:ed:eb:7b:47:0b,-92,
54,7e:6f:8f:10:ac:a4,-89,
55,6e:7a:4f:fb:71:30,-93,
56,7e:1a:35:c7:29:85,-87,
57,46:72:69:4f:c8:0d,-93,
58,54:49:c3:27:4f:52,-101,
59,41:61:9c:e9:cd:0f,-96,
60,1c:da:99:13:19:f5,-95,0000fd6f-0000-1000-8000-00805f9b34fb
61,40:c2:78:0d:67:5b,-83,0000fd6f-0000-1000-8000-00805f9b34fb
62,45:f7:2f:72:26:41,-86,
63,25:1d:6f:ed:cb:ed,-88,0000fd6f-0000-1000-8000-00805f9b34fb
64,31:44:cf:44:c4:a6,-79,0000fd6f-0000-1000-8000-00805f9b34fb
65,79:32:ea:90:c3:f3,-90,
66,17:08:e6:2c:21:ae,-93,0000fd6f-0000-1000-8000-00805f9b34fb
67,51:d8:0c:87:32:d6,-84,
68,7b:ea:91:79:a2:61,-89,
69,45:c7:a7:56:5d:60,-93,
70,43:77:b5:2c:71:95,-83,
71,3d:1b:5a:33:e4:ad,-82,0000fd6f-0000-1000-8000-00805f9b34fb
72,21:36:b2:a7:83:b9,-99,0000fd6f-0000-1000-8000-00805f9b34fb
73,51:2d:b8:14:6b:1e,-89,
74,79:c3:dc:45:0c:49,-90,
75,18:55:af:cf:f2:c0,-92,0000fd6f-0000-1000-8000-00805f9b34fb
76,6e:32:01:d4:ce:e8,-91,
77,40:69:27:ac:cf:fb,-88,
78,5a:68:c1:7f:68:15,-92,
79,0b:1b:b9:19:b8:47,-89,0000fd6f-0000-1000-8000-00805f9b34fb
80,49:65:26:77:af:87,-90,
81,6c:59:0e:ea:91:51,-86,
82,5d:ec:ad:ce:c4:be,-92,
83,55:d1:56:3e:de:c6,-89,
84,70:62:f7:f8:f7:de,-79,
85,4f:f1:ad:7e:1c:84,-86,
86,72:d2:36:21:a5:ea,-96,
87,30:7b:4a:5c:fa:0d,-95,0000fd6f-0000-1000-8000-00805f9b34fb
88,1c:32:1a:57:5d:16,-95,0000fd6f-0000-1000-8000-00805f9b34fb
89,59:c0:c3:0d:c1:c2,-84,
90,7b:37:a8:c2:18:ba,-90,
91,6f:20:3a:32:7f:1f,-87,
92,4d:f7:dd:6c:98:2f,-95,
93,6a:0c:54:82:ed:4e,-91,
94,67:d5:c2:35:9d:79,-94,
95,74:45:f1:64:20:a0,-89,
96,3b:6c:1e:09:06:5f,-96,0000fd6f-0000-1000-8000-00805f9b34fb
97,41:cd:bc:f0:87:1b,-95,
98,75:c4:70:31:5d:d9,-89,
99,5e:39:12:4d:62:d5,-89,
100,2c:c4:8f:cf:e5:62,-92,0000fd6f-0000-1000-8000-00805f9b34fb
101,27:18:5f:fb:bb:17,-84,0000fd6f-0000-1000-8000-00805f9b34fb
102,36:12:65:98:d9:fc,-99,0000fd6f-0000-1000-8000-00805f9b34fb
103,55:b8:74:23:a1:ae,-97,
104,2a:85:26:f8:d6:78,-93,0000fd6f-0000-1000-8000-00805f9b34fb
105,75:62:d3:fe:04:35,-93,
106,44:44:71:c8:17:26,-91,
107,09:f3:00:b4:82:90,-84,0000fd6f-0000-1000-8000-00805f9b34fb
108,7a:73:36:ee:19:cc,-89,
109,7f:69:a6:89:96:8f,-83,
110,48:59:3a:c5:81:c8,-88,
111,34:7d:95:bf:b4:00,-92,0000fd6f-0000-1000-8000-00805f9b34fb
112,5c:77:0e:07:1f:34,-94,
113,7c:3d:6e:77:bd:f3,-86,
114,5c:04:bc:dc:f7:af,-99,
115,13:c3:e4:64:b6:f8,-94,
116,71:20:43:62:2b:17,-95,
117,68:b1:67:a2:13:1d,-87,
118,1a:00:78:2b:c8:c7,-95,0000fd6f-0000-1000-8000-00805f9b34fb
119,65:af:07:c1:cc:75,-97,
120,59:44:bb:99:c0:48,-99,
121,6f:dd:35:70:a8:dd,-89,
122,5c:97:b6:23:5e:0b,-101,
123,4e:23:e4:02:32:2b,-91,
124,5b:38:b7:27:60:04,-90,
125,2e:dc:50:a6:04:d0,-87,0000fd6f-0000-1000-8000-00805f9b34fb
126,6a:ef:0e:50:f8:60,-85,
127,46:a4:47:e3:72:61,-86,
128,71:11:da:40:c9:a9,-89,
129,03:d8:05:7e:8b:ea,-85,0000fd6f-0000-1000-8000-00805f9b34fb
130,55:8a:c6:63:42:1d,-89,
131,09:ec:8c:01:da:0f,-89,0000fd6f-0000-1000-8000-00805f9b34fb
132,5a:2a:f5:6a:5c:8c,-84,
133,2c:4c:fd:a0:82:ad,-94,0000fd6f-0000-1000-8000-00805f9b34fb
134,31:b0:7b:07:24:f6,-93,0000fd6f-0000-1000-8000-00805f9b34fb
135,08:8e:42:3f:a3:76,-93,0000fd6f-0000-1000-8000-00805f9b34fb
136,68:f0:d9:4b:94:f5,-95,
137,2a:ea:98:c9:27:6d,-88,0000fd6f-0000-1000-8000-00805f9b34fb
138,50:bd:5e:a5:b1:6a,-90,
139,08:74:5a:a4:29:e4,-95,0000fd6f-0000-1000-8000-00805f9b34fb
140,4e:1c:41:ff:44:df,-99,
141,60:a5:fa:bb:bf:e8,-87,
142,2f:f4:da:69:58:ad,-87,0000fd6f-0000-1000-8000-00805f9b34fb
143,72:91:c7:09:19:b4,-92,
144,7e:d9:56:d9:81:5e,-88,
145,42:db:d8:59:58:9a,-89,
146,68:4f:a5:4a:9e:62,-87,
147,0f:39:49:5f:20:5b,-89,0000fd6f-0000-1000-8000-00805f9b34fb
148,16:ac:ae:bf:7c:1c,-98,
149,51:d4:ca:fc:79:87,-98,
150,35:a0:df:31:cb:5c,-89,0000fd6f-0000-1000-8000-00805f9b34fb
151,6b:13:7c:25:df:b1,-93,
152,4c:3e:f5:21:ef:6d,-87,
153,48:0a:9f:02:93:b8,-90,
154,7c:a8:16:2b:28:48,-82,
155,36:05:6c:b0:e1:82,-97,0000fd6f-0000-1000-8000-00805f9b34fb
156,01:7c:c3:e2:d9:77,-87,
157,4b:96:27:c0:28:8b,-85,
158,22:67:07:48:99:fd,-90,0000fd6f-0000-1000-8000-00805f9b34fb
159,78:c6:e1:8f:44:47,-91,
