,address,rssi,uuid
0,00:a0:50:52:e3:df,-72,
1,41:30:05:dc:03:8a,-92,
2,49:95:78:47:2c:99,-53,
3,6e:3e:7e:31:a0:f9,-90,
4,d7:88:aa:53:65:70,-93,
5,0b:4c:ef:93:c6:a2,-85,0000fd6f-0000-1000-8000-00805f9b34fb
6,45:de:8c:75:42:f2,-85,
7,5e:e2:8b:e4:e5:b8,-94,
8,63:02:88:de:63:08,-91,
9,62:68:90:6f:6c:91,-88,
10,6c:4e:34:7b:0b:e3,-94,
11,4f:3f:3a:fd:bf:e5,-95,
12,55:03:8f:88:cd:9e,-94,
13,65:33:b7:25:01:13,-97,
14,05:2b:55:57:66:fe,-94,0000fd6f-0000-1000-8000-00805f9b34fb
15,00:a6:07:ce:0a:06,-94,0000fd6f-0000-1000-8000-00805f9b34fb
16,06:be:ab:1d:85:88,-91,0000fd6f-0000-1000-8000-00805f9b34fb
17,40:92:8b:29:54:33,-99,
18,75:d6:f5:05:c3:90,-97,
19,64:76:10:df:d8:d9,-85,
20,63:8a:b0:79:61:33,-98,
21,59:f4:81:2b:7c:7c,-92,
22,2c:fe:34:09:db:74,-94,0000fd6f-0000-1000-8000-00805f9b34fb
23,42:ff:07:b4:b3:ad,-96,
24,73:4e:18:33:4e:53,-86,
25,7c:23:9a:f2:cc:33,-91,
26,4b:fc:cf:3f:37:d7,-98,
