,address,rssi,uuid
0,00:a0:50:53:77:0c,-74,
1,55:1f:59:79:0b:69,-89,0000fd6f-0000-1000-8000-00805f9b34fb
2,44:be:30:f2:2c:8e,-83,
3,76:44:54:f4:65:83,-82,
4,59:a1:ae:c1:8c:eb,-72,
5,41:dc:be:b3:2e:42,-90,
6,60:f1:89:41:04:f6,-92,
7,45:3d:fb:96:85:95,-82,
8,28:11:a5:4f:ff:9f,-79,
9,5a:3e:77:49:61:5a,-90,
10,c4:3d:6b:c2:19:69,-101,
11,7b:7b:c5:1b:71:f2,-84,
12,67:ca:94:0f:ed:01,-88,
13,49:79:ae:31:83:d3,-96,
14,28:11:a5:4f:de:bd,-87,
15,1a:b3:fc:12:2e:85,-98,0000fd6f-0000-1000-8000-00805f9b34fb
16,3a:58:58:06:ff:12,-96,0000fd6f-0000-1000-8000-00805f9b34fb
