,address,rssi,uuid
0,00:a0:50:53:77:0c,-69,
1,59:ed:3c:c4:e1:cd,-95,
2,69:f0:b2:f9:ed:b6,-45,
3,2b:8d:a7:7c:f1:e3,-87,0000fd6f-0000-1000-8000-00805f9b34fb
4,ac:12:2f:4f:36:a8,-66,
5,4f:6f:85:8b:7b:56,-94,
6,7d:56:4a:be:74:d0,-92,
7,55:58:40:ba:48:30,-50,
8,72:31:7e:e7:15:4e,-80,
9,2a:61:83:55:a2:69,-92,0000fd6f-0000-1000-8000-00805f9b34fb
10,6f:a4:75:2d:5f:30,-94,
11,7f:ae:42:36:b5:8d,-81,
12,59:5d:76:01:bf:7e,-96,
13,d4:36:39:ba:bf:4c,-89,
14,2b:bc:58:7b:36:b8,-96,0000fd6f-0000-1000-8000-00805f9b34fb
15,28:11:a5:cb:f2:58,-92,
16,6d:b3:7b:39:4e:93,-91,
17,4b:f9:d5:71:60:57,-82,
18,d4:36:39:ba:bd:b6,-93,
19,04:c2:35:45:d4:67,-92,
20,48:a8:d4:4c:c6:c7,-92,
21,64:5f:72:10:03:2d,-87,
22,7f:89:ec:8c:5a:f8,-91,
23,26:b1:74:f4:2b:94,-89,0000fd6f-0000-1000-8000-00805f9b34fb
24,6c:e6:46:13:69:cd,-95,
25,6f:96:a1:da:9e:70,-85,
26,4d:9c:d6:7e:49:14,-92,
27,2b:71:18:2e:f6:83,-90,
28,43:d9:5c:24:46:c3,-97,
29,43:db:58:34:61:5a,-95,
30,6e:d5:e0:2e:3b:e3,-92,
31,5e:a0:3e:36:eb:a2,-88,
32,0a:26:5b:05:30:d6,-92,
33,37:9b:0d:af:7f:61,-81,0000fd6f-0000-1000-8000-00805f9b34fb
34,d4:36:39:ba:c1:d3,-88,
35,51:19:3b:18:e8:2c,-94,
36,51:5f:cb:6a:bf:d9,-84,
37,d4:36:39:ba:c1:ad,-92,
38,70:81:c3:23:61:3b,-101,
39,05:95:37:3a:c2:ab,-88,
40,79:b5:38:d2:39:97,-97,
41,58:19:45:47:4e:cc,-95,
42,66:cc:31:42:ae:3c,-92,
