,address,rssi,uuid
0,00:a0:50:53:77:0c,-75,
1,41:19:4a:69:d7:71,-84,
2,6f:c6:3c:7b:ef:9e,-93,
3,12:d1:88:dc:33:79,-89,0000fd6f-0000-1000-8000-00805f9b34fb
4,79:3a:bd:18:14:40,-89,
5,44:1e:90:08:a4:ed,-89,
6,6f:59:46:70:82:ee,-93,
7,28:11:a5:cb:cf:bd,-87,
8,28:11:a5:cb:f2:58,-92,
9,4d:12:2d:89:ce:89,-90,
10,03:de:79:14:0b:75,-99,0000fd6f-0000-1000-8000-00805f9b34fb
11,34:a6:bc:53:46:23,-94,0000fd6f-0000-1000-8000-00805f9b34fb
12,46:f2:4e:3a:23:11,-96,
13,46:70:fd:a2:41:cc,-90,
14,51:7c:b9:7f:db:61,-89,
15,73:f5:a9:60:c2:44,-95,
16,70:75:ca:dc:a2:9d,-98,
17,4d:69:24:86:46:85,-94,
18,54:89:3f:13:08:49,-93,
19,76:3c:cb:07:24:77,-97,
20,4d:58:a5:e4:b0:7a,-93,
21,5b:8d:50:ab:19:64,-92,
22,73:c9:5a:1d:6a:f7,-84,
23,25:b8:9e:1d:3a:8e,-93,0000fd6f-0000-1000-8000-00805f9b34fb
24,11:4d:00:81:1a:02,-94,0000fd6f-0000-1000-8000-00805f9b34fb
25,50:1e:14:19:7f:a2,-90,
26,10:15:94:0d:2c:4b,-93,
27,25:06:62:dd:26:20,-99,
