20210704062035,34.69329166666667,135.78210666666666
,adress,rssi,uuid
0,12:d3:d7:00:a7:b5,-94,0000fd6f-0000-1000-8000-00805f9b34fb
1,d4:36:39:ba:c1:d3,-83,null
2,d4:36:39:ba:bf:4c,-96,null
3,f3:85:80:87:df:89,-97,null
4,64:80:16:6a:ab:76,-86,null
5,d4:36:39:ba:bd:b6,-93,null
6,5d:8d:26:83:48:59,-91,null
