20210704060535,34.69329666666667,135.78211666666667
,adress,rssi,uuid
0,43:86:1b:12:1b:33,-91,null
1,d4:36:39:ba:c1:ad,-96,null
2,d4:36:39:ba:c1:d3,-81,null
3,d4:36:39:ba:bd:b6,-95,null
