20210704061336,34.693295,135.78211166666668
,adress,rssi,uuid
0,05:36:52:91:65:10,-81,null
1,d4:36:39:ba:bd:b6,-93,null
2,d4:36:39:ba:bf:4c,-95,null
3,e6:ca:7f:a0:f8:dc,-89,null
4,f3:85:80:87:df:89,-94,null
5,7c:e0:28:43:ef:46,-88,null
6,d4:36:39:ba:c1:d3,-85,null
7,d4:36:39:ba:c1:ad,-93,null
