20201221025506,34.724601666666665,135.725075
,adress,rssi,uuid
0,59:8e:a0:49:f8:c2,-52,null
1,f0:79:60:1d:40:f3,-58,null
2,00:1c:fc:6d:f1:74,-97,null
3,15:fc:eb:cc:d3:6b,-52,0000fd6f-0000-1000-8000-00805f9b34fb
4,74:34:a2:de:82:d1,-54,null
