20201221150116,34.54868833333333,135.722575
,adress,rssi,uuid
0,00:a0:50:2d:33:88,-75,null
1,1a:a6:ed:b2:56:db,-46,0000fd6f-0000-1000-8000-00805f9b34fb
2,68:52:1b:fd:45:d9,-46,null
3,48:72:79:d8:26:ad,-96,null
