20201221073008,34.70665666666667,135.76986833333333
,adress,rssi,uuid
0,00:a0:50:52:f3:95,-70,null
1,41:a5:67:f5:65:1a,-55,null
2,70:61:05:70:fb:e7,-55,null
3,2b:f1:64:3b:b6:e0,-43,0000fd6f-0000-1000-8000-00805f9b34fb
4,09:bc:4b:b0:bf:f7,-34,0000fd6f-0000-1000-8000-00805f9b34fb
5,4d:a9:c2:cf:99:28,-92,null
