,address,rssi,uuid
0,00:a0:50:c4:24:ee,-76,
1,94:db:56:72:21:51,-61,
2,60:e4:71:d2:12:de,-55,
3,0c:77:f4:81:6c:84,-59,0000fd6f-0000-1000-8000-00805f9b34fb
4,98:b6:e9:16:1d:33,-73,
5,56:03:e0:77:65:93,-60,
6,63:70:b9:05:2d:c3,-55,
7,6b:41:15:74:63:99,-59,
8,48:b8:cf:ec:08:3a,-63,
9,2e:a1:45:cc:54:c4,-91,0000fd6f-0000-1000-8000-00805f9b34fb
10,74:67:39:7b:7b:f5,-98,
11,6d:23:b0:38:f7:48,-91,
12,39:70:87:09:aa:6e,-92,
13,6d:3d:4a:50:1e:57,-93,
14,28:28:30:4c:f6:a5,-91,0000fd6f-0000-1000-8000-00805f9b34fb
15,24:ca:ae:d7:41:b5,-95,0000fd6f-0000-1000-8000-00805f9b34fb
16,55:e9:9b:33:47:68,-95,
17,6d:e6:a0:13:ff:71,-92,
18,74:d7:ca:e4:5d:0a,-92,
19,e6:a3:22:df:1f:53,-64,
20,5c:a8:c0:8b:d7:5d,-101,
21,63:6d:6b:27:cd:71,-96,
