20210701145713,34.68348,135.84153333333333
,adress,rssi,uuid
0,00:a0:50:c4:24:ee,-63,null
1,40:d8:0c:2f:69:37,-67,null
2,06:4c:98:34:e6:51,-75,0000fd6f-0000-1000-8000-00805f9b34fb
3,7c:a8:f6:8a:e1:18,-89,null
