20210701161935,34.68347333333333,135.84109833333332
,adress,rssi,uuid
0,00:a0:50:c4:24:ee,-72,null
1,53:a2:1a:2d:13:8b,-92,null
2,48:2c:3c:6c:24:6f,-52,null
